accuracy,loss,val_accuracy,val_loss
0.3629213571548462,1.7467145919799805,0.38876405358314514,1.679514765739441
0.5011236071586609,1.5622769594192505,0.5910112261772156,1.4394842386245728
0.7578651905059814,1.2461680173873901,0.8449438214302063,1.1081583499908447
0.9303370714187622,0.8661448359489441,0.8966292142868042,0.7789503335952759
0.9696629047393799,0.5390604138374329,0.932584285736084,0.5380529761314392
0.983146071434021,0.32650986313819885,0.9438202381134033,0.39289379119873047
0.9893258213996887,0.20568303763866425,0.9483146071434021,0.3122958540916443
0.9949437975883484,0.13719488680362701,0.9483146071434021,0.2614688575267792
0.9966292381286621,0.09570620954036713,0.9528089761734009,0.23183946311473846
0.9988763928413391,0.06921561062335968,0.9528089761734009,0.20868156850337982
0.9988763928413391,0.05178483575582504,0.9528089761734009,0.19488407671451569
1.0,0.039811935275793076,0.9550561904907227,0.18275542557239532
1.0,0.03149445354938507,0.9550561904907227,0.17508432269096375
1.0,0.025156667456030846,0.9550561904907227,0.16950379312038422
1.0,0.02058987505733967,0.9550561904907227,0.16372857987880707
1.0,0.01709289476275444,0.9550561904907227,0.16019102931022644
1.0,0.014431060291826725,0.9550561904907227,0.15708723664283752
1.0,0.012309333309531212,0.9550561904907227,0.15420366823673248
1.0,0.010618899948894978,0.9550561904907227,0.15195444226264954
1.0,0.0092470096424222,0.9550561904907227,0.1500534564256668
1.0,0.00813777931034565,0.9550561904907227,0.14797495305538177
1.0,0.007161078043282032,0.9550561904907227,0.14707794785499573
1.0,0.006363795138895512,0.9550561904907227,0.14557316899299622
1.0,0.005696933716535568,0.9550561904907227,0.14474855363368988
1.0,0.005111879203468561,0.9550561904907227,0.14367690682411194
1.0,0.004622565116733313,0.9550561904907227,0.1432277411222458
1.0,0.004191984422504902,0.9550561904907227,0.1424105316400528
1.0,0.003820236073806882,0.9550561904907227,0.1419013887643814
1.0,0.003488007700070739,0.9550561904907227,0.1414535641670227
1.0,0.0031856149435043335,0.9550561904907227,0.14065778255462646
